Id,Name,Submitted-At,Started-At,Stopped-At,Op-Info,State,Detailed State
w69,s3-gyc,2018-06-26 17:11:51,2018-06-26 17:11:51,2018-06-26 17:15:47,cleanup dispose,finished,queuing @ 2018-06-26 17:11:51,processing @ 2018-06-26 17:11:51,finished @ 2018-06-26 17:15:47
w70,s3-gyc,2018-06-26 17:16:00,2018-06-26 17:16:00,2018-06-26 17:28:26,init write,finished,queuing @ 2018-06-26 17:16:00,processing @ 2018-06-26 17:16:00,finished @ 2018-06-26 17:28:26
w71,s3-gyc,2018-06-26 17:34:47,2018-06-26 17:34:47,2018-06-26 17:36:13,init write,cancelled,queuing @ 2018-06-26 17:34:47,processing @ 2018-06-26 17:34:47,cancelled @ 2018-06-26 17:36:13
w72,s3-gyc,2018-06-26 17:36:24,2018-06-26 17:36:24,2018-06-26 17:40:53,cleanup dispose,finished,queuing @ 2018-06-26 17:36:24,processing @ 2018-06-26 17:36:24,finished @ 2018-06-26 17:40:53
w73,s3-gyc,2018-06-26 17:41:26,2018-06-26 17:41:26,2018-06-26 17:42:17,init write,cancelled,queuing @ 2018-06-26 17:41:26,processing @ 2018-06-26 17:41:26,cancelled @ 2018-06-26 17:42:17
w74,s3-gyc,2018-06-26 17:42:23,2018-06-26 17:42:23,2018-06-26 17:53:44,cleanup dispose,finished,queuing @ 2018-06-26 17:42:23,processing @ 2018-06-26 17:42:23,finished @ 2018-06-26 17:53:44
w75,s3-gyc,2018-06-26 18:13:44,2018-06-26 18:13:44,2018-06-26 18:23:55,init write,finished,queuing @ 2018-06-26 18:13:44,processing @ 2018-06-26 18:13:44,finished @ 2018-06-26 18:23:55
w76,s3-gyc,2018-06-26 18:24:05,2018-06-26 18:24:05,2018-06-26 18:24:28,read,terminated,queuing @ 2018-06-26 18:24:05,processing @ 2018-06-26 18:24:05,terminated @ 2018-06-26 18:24:28
w77,s3-gyc,2018-06-26 19:40:32,2018-06-26 19:40:32,2018-06-26 19:40:32,read,terminated,queuing @ 2018-06-26 19:40:32,processing @ 2018-06-26 19:40:32,terminated @ 2018-06-26 19:40:32
w78,s3-gyc,2018-06-26 19:44:02,2018-06-26 19:44:02,2018-06-26 19:44:18,init write,terminated,queuing @ 2018-06-26 19:44:02,processing @ 2018-06-26 19:44:02,terminated @ 2018-06-26 19:44:18
