Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w84-s2-write-2,write,241550,30918400000,64,158.78,157.64,120,230,370,550,980,3580,402.72,51548274.17,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(128)KB
w84-s2-write-3,write,238864,30574592000,64,160.52,159.38,120,240,370,550,970,3330,398.35,50988270.93,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(128)KB
w84-s2-write-4,write,232953,29817984000,64,164.57,163.44,120,240,390,570,1000,3330,388.57,49736708.09,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(128)KB
w84-s2-write-5,write,237586,30411008000,64,161.4,160.24,120,240,380,560,970,3330,396.19,50712609.19,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(128)KB
w84-s2-write-6,write,238096,30476288000,64,161.06,159.88,120,240,380,560,990,3350,397.01,50817533.82,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(128)KB
w85-s1-read-1,read,462760,59233280000,64,41.45,41.31,30,60,90,150,370,1010,1543,197503782.85,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w85-s1-read-2,read,240472,30780416000,64,79.81,79.24,70,130,190,270,460,1050,801.74,102623021.33,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w85-s1-read-3,read,240813,30824064000,64,79.69,79.16,70,130,190,270,490,1000,802.9,102770995.49,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w85-s1-read-4,read,241057,30855296000,64,79.6,79.1,70,130,190,260,560,940,803.79,102885732.97,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w85-s1-read-5,read,246657,31572096000,64,77.8,77.27,70,120,180,260,500,1170,822.42,105269633.82,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w85-s1-read-6,read,240043,30725504000,64,79.89,79.35,70,130,190,270,490,960,800.89,102514169.68,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w86-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w86-s2-write-1,write,126513,32387328000,64,303.01,301.06,200,430,790,1270,2150,4710,211.13,54049068.77,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(256)KB
w86-s2-write-2,write,128074,32786944000,64,299.34,297.39,200,420,780,1250,2100,4790,213.71,54710601.9,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(256)KB
w86-s2-write-3,write,125707,32180992000,64,304.96,303,200,430,800,1290,2170,4600,209.78,53703812.87,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(256)KB
w86-s2-write-4,write,127031,32519936000,64,301.77,299.81,200,420,790,1270,2170,4640,211.99,54269715.5,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) sizes=c(256)KB
w86-s2-write-5,write,128866,32989696000,64,297.45,295.48,200,420,770,1250,2110,4590,215.07,55057620.9,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) sizes=c(256)KB
w86-s2-write-6,write,134370,34398720000,64,285.25,283.28,190,400,740,1190,2050,4750,224.27,57412580.76,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) sizes=c(256)KB
w87-s1-read-1,read,192895,49381120000,64,99.5,98.93,60,170,270,330,690,26710,643.09,164631007.14,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) timeout=30000
w87-s1-read-2,read,173733,44475648000,64,110.47,109.8,70,180,290,380,700,27140,579.25,148289189.73,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) timeout=30000
w87-s1-read-3,read,177112,45340672000,64,108.36,107.67,80,170,260,350,750,27010,590.54,151178010.54,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) timeout=30000
w87-s1-read-4,read,172774,44230144000,64,111.07,110.35,80,190,280,360,760,27150,576.14,147490910.57,100%,100% cprefix=s3bucket containers=r(2101-2800) objects=r(301-400) timeout=30000
w87-s1-read-5,read,174979,44794624000,64,109.68,109.03,70,180,290,380,660,26920,583.45,149362932.71,100%,100% cprefix=s3bucket containers=r(2801-3500) objects=r(401-500) timeout=30000
w87-s1-read-6,read,179114,45853184000,64,107.16,106.47,80,170,250,320,800,26750,597.16,152872643.94,100%,100% cprefix=s3bucket containers=r(3501-4200) objects=r(501-600) timeout=30000
w88-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) cprefix=s3bucket containers=r(1-60) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-60)
w88-s2-write-1,write,58140,29767680000,64,659.09,655.08,420,940,1660,2860,4720,8320,97.07,49701579.39,100%,100% cprefix=s3bucket containers=r(1-10) objects=r(1-1000) sizes=c(512)KB
w88-s2-write-2,write,56689,29024768000,64,676.25,672.27,430,950,1750,2970,4900,8390,94.61,48441580.29,100%,100% cprefix=s3bucket containers=r(11-20) objects=r(1001-2000) sizes=c(512)KB
w88-s2-write-3,write,56194,28771328000,64,682.11,678.1,430,950,1720,2940,5250,8960,93.8,48025032.84,100%,100% cprefix=s3bucket containers=r(21-30) objects=r(2001-3000) sizes=c(512)KB
w88-s2-write-4,write,59771,30602752000,64,641.27,637.29,410,900,1580,2740,4800,9180,99.77,51083698.45,100%,100% cprefix=s3bucket containers=r(31-40) objects=r(3001-4000) sizes=c(512)KB
w88-s2-write-5,write,60838,31149056000,64,630.22,626.25,400,890,1570,2650,4820,8600,101.52,51980048.7,100%,100% cprefix=s3bucket containers=r(41-50) objects=r(4001-5000) sizes=c(512)KB
w88-s2-write-6,write,56347,28849664000,64,680.23,676.24,440,950,1700,2940,5070,8540,94.06,48158501.77,100%,100% cprefix=s3bucket containers=r(51-60) objects=r(5001-6000) sizes=c(512)KB
w93-s1-init-1,init-write,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) cprefix=s3bucket containers=r(1-4200) objects=r(0-0) sizes=c(0)B cprefix=s3bucket containers=r(1-4200)
w93-s2-write-1,write,66303,33947136000,64,578.38,574.64,520,890,1290,1720,2680,10420,110.63,56643083.11,100%,100% cprefix=s3bucket containers=r(1-700) objects=r(1-100) sizes=c(512)KB
w93-s2-write-2,write,65957,33769984000,64,581.47,577.73,520,880,1300,1770,2790,9170,110.04,56342081.91,100%,100% cprefix=s3bucket containers=r(701-1400) objects=r(101-200) sizes=c(512)KB
w93-s2-write-3,write,65120,33341440000,64,588.92,585.18,530,910,1330,1770,2700,9920,108.65,55629668.82,100%,100% cprefix=s3bucket containers=r(1401-2100) objects=r(201-300) sizes=c(512)KB
